Cidade;valortotal;categorias
BARREIRAS-BA;6024.28;BRINQUEDOS|UTILIDADES_DOMESTICA|FERRAMENTAS_JARDIM|MOVEIS_DECORACAO|MOVEIS_ESCRITORIO|AUTOMOTIVO|TELEFONIA|ELETRONICOS|COOL_STUFF|BELEZA_SAUDE|PERFUMARIA|PAPELARIA|INFORMATICA_ACESSORI|ESPORTE_LAZER|PET_SHOP|RELOGIOS_PRESENTES|BEBIDAS|ELETRODOMESTICOS|CONSOLES_GAMES|
SAO GONCALO-RJ;44432.01;BRINQUEDOS|TELEFONIA|PERFUMARIA|CAMA_MESA_BANHO|MOVEIS_DECORACAO|BELEZA_SAUDE|FERRAMENTAS_JARDIM|ESPORTE_LAZER|BEBIDAS|COOL_STUFF|MOVEIS_ESCRITORIO|RELOGIOS_PRESENTES|UTILIDADES_DOMESTICA|ELETRONICOS|AUTOMOTIVO|INFORMATICA_ACESSORI|CONSOLES_GAMES|MALAS_ACESSORIOS|PAPELARIA|FASHION_BOLSAS_E_ACE|ELETRODOMESTICOS|PET_SHOP|
REALEZA-PR;1264.26;COOL_STUFF|BELEZA_SAUDE|ESPORTE_LAZER|BRINQUEDOS|MOVEIS_DECORACAO|
ITAUNA-MG;5786.10;COOL_STUFF|CAMA_MESA_BANHO|FERRAMENTAS_JARDIM|ELETRONICOS|MOVEIS_DECORACAO|PET_SHOP|PAPELARIA|BELEZA_SAUDE|ESPORTE_LAZER|INFORMATICA_ACESSORI|PERFUMARIA|BRINQUEDOS|TELEFONIA|RELOGIOS_PRESENTES|UTILIDADES_DOMESTICA|MALAS_ACESSORIOS|FASHION_BOLSAS_E_ACE|AUTOMOTIVO|CONSOLES_GAMES|
CONCORDIA-SC;4934.16;COOL_STUFF|PERFUMARIA|CAMA_MESA_BANHO|FERRAMENTAS_JARDIM|MOVEIS_DECORACAO|ESPORTE_LAZER|TELEFONIA|UTILIDADES_DOMESTICA|RELOGIOS_PRESENTES|ELETRONICOS|BRINQUEDOS|INFORMATICA_ACESSORI|PAPELARIA|FASHION_BOLSAS_E_ACE|BELEZA_SAUDE|AUTOMOTIVO|
CURITIBA-PR;172589.62;COOL_STUFF|BRINQUEDOS|BELEZA_SAUDE|TELEFONIA|PERFUMARIA|CAMA_MESA_BANHO|MOVEIS_DECORACAO|UTILIDADES_DOMESTICA|FERRAMENTAS_JARDIM|BEBIDAS|RELOGIOS_PRESENTES|AUTOMOTIVO|ESPORTE_LAZER|MOVEIS_ESCRITORIO|FASHION_BOLSAS_E_ACE|INFORMATICA_ACESSORI|MALAS_ACESSORIOS|PAPELARIA|ELETRONICOS|PET_SHOP|CONSOLES_GAMES|ELETRODOMESTICOS|
JUSSARA-GO;82.79;COOL_STUFF|PERFUMARIA|AUTOMOTIVO|
GUARULHOS-SP;124368.02;COOL_STUFF|PET_SHOP|FERRAMENTAS_JARDIM|UTILIDADES_DOMESTICA|BELEZA_SAUDE|PERFUMARIA|CAMA_MESA_BANHO|MOVEIS_DECORACAO|ELETRODOMESTICOS|RELOGIOS_PRESENTES|ESPORTE_LAZER|BRINQUEDOS|BEBIDAS|TELEFONIA|AUTOMOTIVO|MOVEIS_ESCRITORIO|FASHION_BOLSAS_E_ACE|MALAS_ACESSORIOS|ELETRONICOS|CONSOLES_GAMES|INFORMATICA_ACESSORI|PAPELARIA|
GUARA-SP;842.80;COOL_STUFF|BELEZA_SAUDE|INFORMATICA_ACESSORI|PAPELARIA|MALAS_ACESSORIOS|
ARTUR NOGUEIRA-SP;5714.70;COOL_STUFF|CAMA_MESA_BANHO|BELEZA_SAUDE|MOVEIS_DECORACAO|ESPORTE_LAZER|RELOGIOS_PRESENTES|INFORMATICA_ACESSORI|BRINQUEDOS|FERRAMENTAS_JARDIM|PET_SHOP|FASHION_BOLSAS_E_ACE|AUTOMOTIVO|UTILIDADES_DOMESTICA|MALAS_ACESSORIOS|PAPELARIA|
