Cidade;valortotal;categorias
MORRO DO CHAPEU-BA;557.57;CAMA_MESA_BANHO|MOVEIS_DECORACAO|UTILIDADES_DOMESTICA|PAPELARIA|TELEFONIA|AUTOMOTIVO|
IMACULADA-PB;340.89;CAMA_MESA_BANHO|AUTOMOTIVO|ESPORTE_LAZER|
ALTO PARAISO DE GOIAS-GO;1325.36;CAMA_MESA_BANHO|FERRAMENTAS_JARDIM|MOVEIS_DECORACAO|TELEFONIA|BEBIDAS|COOL_STUFF|UTILIDADES_DOMESTICA|
SANTO ANTONIO DO DESCOBERTO-GO;776.36;CAMA_MESA_BANHO|PET_SHOP|BELEZA_SAUDE|PERFUMARIA|
OURO PRETO-MG;5720.79;CAMA_MESA_BANHO|MOVEIS_DECORACAO|ESPORTE_LAZER|TELEFONIA|RELOGIOS_PRESENTES|COOL_STUFF|BELEZA_SAUDE|ELETRONICOS|BEBIDAS|UTILIDADES_DOMESTICA|INFORMATICA_ACESSORI|ELETRODOMESTICOS|PERFUMARIA|AUTOMOTIVO|MALAS_ACESSORIOS|FERRAMENTAS_JARDIM|MOVEIS_ESCRITORIO|PAPELARIA|BRINQUEDOS|
PRATA-MG;1044.58;CAMA_MESA_BANHO|TELEFONIA|RELOGIOS_PRESENTES|MOVEIS_DECORACAO|FERRAMENTAS_JARDIM|ESPORTE_LAZER|INFORMATICA_ACESSORI|
SANTO ANGELO-RS;5049.46;CAMA_MESA_BANHO|COOL_STUFF|TELEFONIA|RELOGIOS_PRESENTES|FASHION_BOLSAS_E_ACE|INFORMATICA_ACESSORI|BEBIDAS|BELEZA_SAUDE|ESPORTE_LAZER|UTILIDADES_DOMESTICA|PET_SHOP|MOVEIS_DECORACAO|PERFUMARIA|BRINQUEDOS|ELETRONICOS|FERRAMENTAS_JARDIM|
MARIAPOLIS-SP;111.90;CAMA_MESA_BANHO|TELEFONIA|
FRANCO DA ROCHA-SP;8687.28;CAMA_MESA_BANHO|MOVEIS_DECORACAO|FERRAMENTAS_JARDIM|TELEFONIA|ESPORTE_LAZER|PERFUMARIA|UTILIDADES_DOMESTICA|MOVEIS_ESCRITORIO|FASHION_BOLSAS_E_ACE|AUTOMOTIVO|COOL_STUFF|INFORMATICA_ACESSORI|BELEZA_SAUDE|BRINQUEDOS|BEBIDAS|MALAS_ACESSORIOS|RELOGIOS_PRESENTES|PAPELARIA|ELETRODOMESTICOS|CONSOLES_GAMES|
QUATA-SP;1419.57;CAMA_MESA_BANHO|COOL_STUFF|INFORMATICA_ACESSORI|CONSOLES_GAMES|AUTOMOTIVO|FERRAMENTAS_JARDIM|UTILIDADES_DOMESTICA|MOVEIS_ESCRITORIO|
BOM REPOUSO-MG;402.29;CAMA_MESA_BANHO|ESPORTE_LAZER|ELETRONICOS|
CAMPINAPOLIS-MT;324.86;CAMA_MESA_BANHO|PAPELARIA|
SAQUAREMA-RJ;3463.35;CAMA_MESA_BANHO|BELEZA_SAUDE|FERRAMENTAS_JARDIM|ESPORTE_LAZER|PAPELARIA|AUTOMOTIVO|INFORMATICA_ACESSORI|COOL_STUFF|BEBIDAS|RELOGIOS_PRESENTES|ELETRONICOS|ELETRODOMESTICOS|PET_SHOP|FASHION_BOLSAS_E_ACE|MOVEIS_DECORACAO|UTILIDADES_DOMESTICA|
GOIAS-GO;1028.61;CAMA_MESA_BANHO|AUTOMOTIVO|PAPELARIA|
MONTENEGRO-RS;4844.73;CAMA_MESA_BANHO|AUTOMOTIVO|MOVEIS_ESCRITORIO|PAPELARIA|COOL_STUFF|BRINQUEDOS|ESPORTE_LAZER|INFORMATICA_ACESSORI|MOVEIS_DECORACAO|RELOGIOS_PRESENTES|FERRAMENTAS_JARDIM|UTILIDADES_DOMESTICA|BEBIDAS|TELEFONIA|
GRAVATA-PE;1465.40;CAMA_MESA_BANHO|FERRAMENTAS_JARDIM|RELOGIOS_PRESENTES|BELEZA_SAUDE|MOVEIS_DECORACAO|AUTOMOTIVO|
ALTANEIRA-CE;369.60;CAMA_MESA_BANHO|BELEZA_SAUDE|
MANGA-MG;378.80;CAMA_MESA_BANHO|FERRAMENTAS_JARDIM|
BAGE-RS;8791.62;CAMA_MESA_BANHO|MOVEIS_DECORACAO|FERRAMENTAS_JARDIM|RELOGIOS_PRESENTES|UTILIDADES_DOMESTICA|TELEFONIA|INFORMATICA_ACESSORI|COOL_STUFF|CONSOLES_GAMES|PERFUMARIA|BRINQUEDOS|ESPORTE_LAZER|PAPELARIA|ELETRODOMESTICOS|MALAS_ACESSORIOS|BEBIDAS|BELEZA_SAUDE|FASHION_BOLSAS_E_ACE|AUTOMOTIVO|PET_SHOP|
ENTRE-IJUIS-RS;454.50;CAMA_MESA_BANHO|BEBIDAS|
VASSOURAS-RJ;4039.25;CAMA_MESA_BANHO|MOVEIS_DECORACAO|BRINQUEDOS|PET_SHOP|TELEFONIA|FASHION_BOLSAS_E_ACE|UTILIDADES_DOMESTICA|AUTOMOTIVO|BELEZA_SAUDE|INFORMATICA_ACESSORI|BEBIDAS|FERRAMENTAS_JARDIM|ESPORTE_LAZER|
PALOTINA-PR;529.76;CAMA_MESA_BANHO|MOVEIS_DECORACAO|INFORMATICA_ACESSORI|RELOGIOS_PRESENTES|FERRAMENTAS_JARDIM|FASHION_BOLSAS_E_ACE|UTILIDADES_DOMESTICA|BEBIDAS|
JARU-RO;520.69;CAMA_MESA_BANHO|ESPORTE_LAZER|ELETRONICOS|BEBIDAS|
CAMPO GRANDE-MS;49431.83;CAMA_MESA_BANHO|MOVEIS_DECORACAO|UTILIDADES_DOMESTICA|BELEZA_SAUDE|FERRAMENTAS_JARDIM|BEBIDAS|ESPORTE_LAZER|TELEFONIA|RELOGIOS_PRESENTES|FASHION_BOLSAS_E_ACE|AUTOMOTIVO|COOL_STUFF|ELETRONICOS|INFORMATICA_ACESSORI|MALAS_ACESSORIOS|PERFUMARIA|CONSOLES_GAMES|BRINQUEDOS|PAPELARIA|PET_SHOP|ELETRODOMESTICOS|MOVEIS_ESCRITORIO|
PASSO FUNDO-RS;13839.40;CAMA_MESA_BANHO|MOVEIS_DECORACAO|BELEZA_SAUDE|FERRAMENTAS_JARDIM|ESPORTE_LAZER|TELEFONIA|UTILIDADES_DOMESTICA|AUTOMOTIVO|RELOGIOS_PRESENTES|ELETRONICOS|INFORMATICA_ACESSORI|COOL_STUFF|PET_SHOP|PAPELARIA|FASHION_BOLSAS_E_ACE|BRINQUEDOS|PERFUMARIA|ELETRODOMESTICOS|CONSOLES_GAMES|BEBIDAS|MALAS_ACESSORIOS|
NOVA PONTE-MG;1364.59;CAMA_MESA_BANHO|ESPORTE_LAZER|BEBIDAS|TELEFONIA|INFORMATICA_ACESSORI|FERRAMENTAS_JARDIM|BELEZA_SAUDE|RELOGIOS_PRESENTES|PET_SHOP|
MIMOSO DO SUL-ES;407.38;CAMA_MESA_BANHO|INFORMATICA_ACESSORI|TELEFONIA|ESPORTE_LAZER|PAPELARIA|BRINQUEDOS|
SABARA-MG;4067.63;CAMA_MESA_BANHO|BRINQUEDOS|ESPORTE_LAZER|MOVEIS_ESCRITORIO|RELOGIOS_PRESENTES|FERRAMENTAS_JARDIM|INFORMATICA_ACESSORI|MOVEIS_DECORACAO|BELEZA_SAUDE|MALAS_ACESSORIOS|BEBIDAS|COOL_STUFF|PERFUMARIA|UTILIDADES_DOMESTICA|TELEFONIA|FASHION_BOLSAS_E_ACE|PET_SHOP|
PARNAIBA-PI;3048.31;CAMA_MESA_BANHO|MOVEIS_DECORACAO|PERFUMARIA|MOVEIS_ESCRITORIO|ELETRONICOS|COOL_STUFF|MALAS_ACESSORIOS|PAPELARIA|BELEZA_SAUDE|FERRAMENTAS_JARDIM|ESPORTE_LAZER|AUTOMOTIVO|BRINQUEDOS|
ESPERA FELIZ-MG;2726.96;CAMA_MESA_BANHO|COOL_STUFF|PET_SHOP|BRINQUEDOS|UTILIDADES_DOMESTICA|AUTOMOTIVO|INFORMATICA_ACESSORI|RELOGIOS_PRESENTES|ESPORTE_LAZER|
AGUAS VERMELHAS-MG;574.58;CAMA_MESA_BANHO|BELEZA_SAUDE|UTILIDADES_DOMESTICA|
BURITAMA-SP;1024.24;CAMA_MESA_BANHO|MOVEIS_DECORACAO|MOVEIS_ESCRITORIO|RELOGIOS_PRESENTES|BELEZA_SAUDE|UTILIDADES_DOMESTICA|
CAMBE-PR;2488.27;CAMA_MESA_BANHO|UTILIDADES_DOMESTICA|FERRAMENTAS_JARDIM|AUTOMOTIVO|MOVEIS_DECORACAO|COOL_STUFF|BRINQUEDOS|BELEZA_SAUDE|BEBIDAS|ELETRONICOS|MOVEIS_ESCRITORIO|ESPORTE_LAZER|
IACU-BA;340.70;CAMA_MESA_BANHO|MOVEIS_ESCRITORIO|FASHION_BOLSAS_E_ACE|ESPORTE_LAZER|
JABOTICABAL-SP;5187.56;CAMA_MESA_BANHO|MOVEIS_DECORACAO|ESPORTE_LAZER|MOVEIS_ESCRITORIO|AUTOMOTIVO|TELEFONIA|FERRAMENTAS_JARDIM|PERFUMARIA|UTILIDADES_DOMESTICA|INFORMATICA_ACESSORI|PAPELARIA|ELETRONICOS|BELEZA_SAUDE|MALAS_ACESSORIOS|BRINQUEDOS|COOL_STUFF|
CAMPO MAIOR-PI;993.66;CAMA_MESA_BANHO|PERFUMARIA|RELOGIOS_PRESENTES|TELEFONIA|MALAS_ACESSORIOS|INFORMATICA_ACESSORI|
PORTO REAL-RJ;1678.50;CAMA_MESA_BANHO|ESPORTE_LAZER|RELOGIOS_PRESENTES|BELEZA_SAUDE|AUTOMOTIVO|MOVEIS_DECORACAO|
VACARIA-RS;1769.40;CAMA_MESA_BANHO|TELEFONIA|FASHION_BOLSAS_E_ACE|ESPORTE_LAZER|FERRAMENTAS_JARDIM|RELOGIOS_PRESENTES|PET_SHOP|ELETRODOMESTICOS|UTILIDADES_DOMESTICA|COOL_STUFF|
CORDEIRO-RJ;2161.97;CAMA_MESA_BANHO|MOVEIS_DECORACAO|COOL_STUFF|FASHION_BOLSAS_E_ACE|MALAS_ACESSORIOS|RELOGIOS_PRESENTES|TELEFONIA|PERFUMARIA|AUTOMOTIVO|PET_SHOP|BRINQUEDOS|
BOA ESPERANCA-MG;1555.72;CAMA_MESA_BANHO|FERRAMENTAS_JARDIM|RELOGIOS_PRESENTES|AUTOMOTIVO|PERFUMARIA|UTILIDADES_DOMESTICA|PET_SHOP|MOVEIS_ESCRITORIO|
JARDINOPOLIS-SP;1250.05;CAMA_MESA_BANHO|MOVEIS_ESCRITORIO|PET_SHOP|BEBIDAS|RELOGIOS_PRESENTES|MALAS_ACESSORIOS|
VILA LANGARO-RS;140.64;CAMA_MESA_BANHO|TELEFONIA|ELETRONICOS|
ANGULO-PR;294.70;CAMA_MESA_BANHO|INFORMATICA_ACESSORI|UTILIDADES_DOMESTICA|
BOM JESUS DOS PERDOES-SP;1235.32;CAMA_MESA_BANHO|BEBIDAS|INFORMATICA_ACESSORI|MOVEIS_DECORACAO|RELOGIOS_PRESENTES|FERRAMENTAS_JARDIM|ESPORTE_LAZER|BELEZA_SAUDE|
EDEIA-GO;472.90;CAMA_MESA_BANHO|ESPORTE_LAZER|COOL_STUFF|
PAULICEIA-SP;421.27;CAMA_MESA_BANHO|BRINQUEDOS|
BELA VISTA DO PARAISO-PR;515.49;CAMA_MESA_BANHO|COOL_STUFF|
AIMORES-MG;604.37;CAMA_MESA_BANHO|UTILIDADES_DOMESTICA|TELEFONIA|COOL_STUFF|CONSOLES_GAMES|PERFUMARIA|BEBIDAS|
JERONIMO MONTEIRO-ES;284.00;CAMA_MESA_BANHO|RELOGIOS_PRESENTES|
VOTUPORANGA-SP;6653.84;CAMA_MESA_BANHO|BELEZA_SAUDE|FERRAMENTAS_JARDIM|MOVEIS_DECORACAO|UTILIDADES_DOMESTICA|RELOGIOS_PRESENTES|TELEFONIA|ESPORTE_LAZER|BRINQUEDOS|MALAS_ACESSORIOS|COOL_STUFF|AUTOMOTIVO|CONSOLES_GAMES|PAPELARIA|INFORMATICA_ACESSORI|FASHION_BOLSAS_E_ACE|BEBIDAS|MOVEIS_ESCRITORIO|PET_SHOP|
VICOSA-MG;12369.15;CAMA_MESA_BANHO|UTILIDADES_DOMESTICA|FERRAMENTAS_JARDIM|ESPORTE_LAZER|MOVEIS_ESCRITORIO|RELOGIOS_PRESENTES|AUTOMOTIVO|COOL_STUFF|BEBIDAS|BELEZA_SAUDE|MOVEIS_DECORACAO|CONSOLES_GAMES|MALAS_ACESSORIOS|TELEFONIA|PAPELARIA|INFORMATICA_ACESSORI|PET_SHOP|PERFUMARIA|FASHION_BOLSAS_E_ACE|BRINQUEDOS|ELETRODOMESTICOS|
IBIAM-SC;382.99;CAMA_MESA_BANHO|RELOGIOS_PRESENTES|PAPELARIA|
GUAPIACU-SP;906.98;CAMA_MESA_BANHO|TELEFONIA|INFORMATICA_ACESSORI|ELETRONICOS|COOL_STUFF|
PROMISSAO-SP;3652.35;CAMA_MESA_BANHO|PERFUMARIA|RELOGIOS_PRESENTES|TELEFONIA|UTILIDADES_DOMESTICA|BEBIDAS|INFORMATICA_ACESSORI|BELEZA_SAUDE|PAPELARIA|ELETRODOMESTICOS|BRINQUEDOS|ESPORTE_LAZER|MOVEIS_DECORACAO|FASHION_BOLSAS_E_ACE|
ELIAS FAUSTO-SP;355.60;CAMA_MESA_BANHO|FERRAMENTAS_JARDIM|AUTOMOTIVO|BRINQUEDOS|
ALEGRE-ES;2814.08;CAMA_MESA_BANHO|ESPORTE_LAZER|TELEFONIA|INFORMATICA_ACESSORI|PAPELARIA|BEBIDAS|ELETRONICOS|FASHION_BOLSAS_E_ACE|
CHAVANTES-SP;926.52;CAMA_MESA_BANHO|TELEFONIA|RELOGIOS_PRESENTES|MOVEIS_DECORACAO|UTILIDADES_DOMESTICA|FERRAMENTAS_JARDIM|BELEZA_SAUDE|ESPORTE_LAZER|PET_SHOP|
PIEDADE DE CARATINGA-MG;592.08;CAMA_MESA_BANHO|MOVEIS_DECORACAO|BELEZA_SAUDE|ELETRONICOS|
CACHOEIRA DA PRATA-MG;169.80;CAMA_MESA_BANHO|MALAS_ACESSORIOS|
PAIVA-MG;146.20;CAMA_MESA_BANHO|UTILIDADES_DOMESTICA|
FERNANDOPOLIS-SP;5991.76;CAMA_MESA_BANHO|UTILIDADES_DOMESTICA|MOVEIS_DECORACAO|PERFUMARIA|MOVEIS_ESCRITORIO|RELOGIOS_PRESENTES|TELEFONIA|INFORMATICA_ACESSORI|MALAS_ACESSORIOS|ESPORTE_LAZER|BELEZA_SAUDE|PAPELARIA|FASHION_BOLSAS_E_ACE|PET_SHOP|COOL_STUFF|
ITAPERUNA-RJ;4942.62;CAMA_MESA_BANHO|MOVEIS_DECORACAO|FERRAMENTAS_JARDIM|TELEFONIA|MOVEIS_ESCRITORIO|RELOGIOS_PRESENTES|BRINQUEDOS|BEBIDAS|BELEZA_SAUDE|ESPORTE_LAZER|CONSOLES_GAMES|ELETRONICOS|AUTOMOTIVO|UTILIDADES_DOMESTICA|MALAS_ACESSORIOS|PET_SHOP|COOL_STUFF|PAPELARIA|FASHION_BOLSAS_E_ACE|
SANTA ISABEL-SP;2656.76;CAMA_MESA_BANHO|MOVEIS_DECORACAO|ESPORTE_LAZER|MOVEIS_ESCRITORIO|ELETRODOMESTICOS|BELEZA_SAUDE|ELETRONICOS|COOL_STUFF|PAPELARIA|AUTOMOTIVO|CONSOLES_GAMES|FERRAMENTAS_JARDIM|INFORMATICA_ACESSORI|UTILIDADES_DOMESTICA|PET_SHOP|
SANTO ANTONIO DA PLATINA-PR;1598.61;CAMA_MESA_BANHO|UTILIDADES_DOMESTICA|MOVEIS_DECORACAO|TELEFONIA|ESPORTE_LAZER|INFORMATICA_ACESSORI|PERFUMARIA|
SANTOS DUMONT-MG;2015.50;CAMA_MESA_BANHO|UTILIDADES_DOMESTICA|MOVEIS_DECORACAO|RELOGIOS_PRESENTES|TELEFONIA|MOVEIS_ESCRITORIO|ELETRONICOS|ESPORTE_LAZER|COOL_STUFF|PET_SHOP|PAPELARIA|BELEZA_SAUDE|
CORIBE-BA;654.97;CAMA_MESA_BANHO|MOVEIS_DECORACAO|COOL_STUFF|BELEZA_SAUDE|ESPORTE_LAZER|FASHION_BOLSAS_E_ACE|
SANTA VITORIA-MG;4083.77;CAMA_MESA_BANHO|UTILIDADES_DOMESTICA|INFORMATICA_ACESSORI|COOL_STUFF|BELEZA_SAUDE|MALAS_ACESSORIOS|RELOGIOS_PRESENTES|TELEFONIA|FASHION_BOLSAS_E_ACE|PERFUMARIA|AUTOMOTIVO|
SAPUCAI-MIRIM-MG;569.79;CAMA_MESA_BANHO|BEBIDAS|FERRAMENTAS_JARDIM|INFORMATICA_ACESSORI|
CRIXAS-GO;893.68;CAMA_MESA_BANHO|ELETRONICOS|COOL_STUFF|INFORMATICA_ACESSORI|AUTOMOTIVO|TELEFONIA|CONSOLES_GAMES|UTILIDADES_DOMESTICA|
BANANAL-SP;582.25;CAMA_MESA_BANHO|MOVEIS_DECORACAO|UTILIDADES_DOMESTICA|
LAGOA VERMELHA-RS;1686.15;CAMA_MESA_BANHO|MOVEIS_DECORACAO|TELEFONIA|INFORMATICA_ACESSORI|ESPORTE_LAZER|PET_SHOP|BELEZA_SAUDE|BRINQUEDOS|
GIRUA-RS;1335.28;CAMA_MESA_BANHO|INFORMATICA_ACESSORI|BELEZA_SAUDE|TELEFONIA|ESPORTE_LAZER|BRINQUEDOS|
MIRANDIBA-PE;221.89;CAMA_MESA_BANHO|BELEZA_SAUDE|CONSOLES_GAMES|
DORES DE CAMPOS-MG;1308.14;CAMA_MESA_BANHO|MALAS_ACESSORIOS|ESPORTE_LAZER|TELEFONIA|FERRAMENTAS_JARDIM|
ITAJUBA-MG;12377.40;CAMA_MESA_BANHO|FERRAMENTAS_JARDIM|MOVEIS_DECORACAO|ESPORTE_LAZER|BEBIDAS|MOVEIS_ESCRITORIO|RELOGIOS_PRESENTES|ELETRONICOS|AUTOMOTIVO|INFORMATICA_ACESSORI|COOL_STUFF|BELEZA_SAUDE|PAPELARIA|BRINQUEDOS|UTILIDADES_DOMESTICA|PET_SHOP|TELEFONIA|MALAS_ACESSORIOS|CONSOLES_GAMES|
EMBU-SP;1255.99;CAMA_MESA_BANHO|MOVEIS_DECORACAO|BELEZA_SAUDE|UTILIDADES_DOMESTICA|ESPORTE_LAZER|
URAI-PR;283.90;CAMA_MESA_BANHO|INFORMATICA_ACESSORI|RELOGIOS_PRESENTES|
MIRANTE DO PARANAPANEMA-SP;199.70;CAMA_MESA_BANHO|MOVEIS_DECORACAO|PAPELARIA|
VARGINHA-MG;12526.14;CAMA_MESA_BANHO|MOVEIS_DECORACAO|FERRAMENTAS_JARDIM|PERFUMARIA|MOVEIS_ESCRITORIO|RELOGIOS_PRESENTES|INFORMATICA_ACESSORI|COOL_STUFF|PAPELARIA|UTILIDADES_DOMESTICA|BELEZA_SAUDE|BRINQUEDOS|FASHION_BOLSAS_E_ACE|ESPORTE_LAZER|BEBIDAS|AUTOMOTIVO|PET_SHOP|ELETRONICOS|TELEFONIA|
DAVID CANABARRO-RS;167.88;CAMA_MESA_BANHO|MOVEIS_DECORACAO|
MONGAGUA-SP;4217.59;CAMA_MESA_BANHO|TELEFONIA|MOVEIS_ESCRITORIO|RELOGIOS_PRESENTES|MOVEIS_DECORACAO|ELETRODOMESTICOS|INFORMATICA_ACESSORI|COOL_STUFF|BRINQUEDOS|PERFUMARIA|MALAS_ACESSORIOS|ESPORTE_LAZER|FERRAMENTAS_JARDIM|BEBIDAS|BELEZA_SAUDE|PAPELARIA|
CABROBO-PE;921.79;CAMA_MESA_BANHO|BELEZA_SAUDE|PAPELARIA|MALAS_ACESSORIOS|RELOGIOS_PRESENTES|
ESPIGAO DO OESTE-RO;706.68;CAMA_MESA_BANHO|UTILIDADES_DOMESTICA|COOL_STUFF|FASHION_BOLSAS_E_ACE|ELETRONICOS|
SANTA ROSA DE VITERBO-SP;949.53;CAMA_MESA_BANHO|PERFUMARIA|UTILIDADES_DOMESTICA|MOVEIS_DECORACAO|ESPORTE_LAZER|PAPELARIA|BELEZA_SAUDE|
PELOTAS-RS;19607.94;CAMA_MESA_BANHO|MOVEIS_DECORACAO|UTILIDADES_DOMESTICA|BELEZA_SAUDE|FERRAMENTAS_JARDIM|RELOGIOS_PRESENTES|ESPORTE_LAZER|TELEFONIA|MOVEIS_ESCRITORIO|FASHION_BOLSAS_E_ACE|MALAS_ACESSORIOS|AUTOMOTIVO|PERFUMARIA|INFORMATICA_ACESSORI|ELETRONICOS|COOL_STUFF|BEBIDAS|CONSOLES_GAMES|PAPELARIA|BRINQUEDOS|PET_SHOP|
CORONEL JOAO SA-BA;587.99;CAMA_MESA_BANHO|BRINQUEDOS|PERFUMARIA|
REDENCAO-PA;1423.25;CAMA_MESA_BANHO|COOL_STUFF|BELEZA_SAUDE|UTILIDADES_DOMESTICA|ESPORTE_LAZER|PET_SHOP|MOVEIS_DECORACAO|AUTOMOTIVO|
PALMARES-PE;1019.92;CAMA_MESA_BANHO|FERRAMENTAS_JARDIM|AUTOMOTIVO|ELETRONICOS|PAPELARIA|BELEZA_SAUDE|COOL_STUFF|
LENCOIS PAULISTA-SP;5230.69;CAMA_MESA_BANHO|MOVEIS_DECORACAO|ESPORTE_LAZER|INFORMATICA_ACESSORI|PET_SHOP|PERFUMARIA|RELOGIOS_PRESENTES|PAPELARIA|ELETRONICOS|BELEZA_SAUDE|UTILIDADES_DOMESTICA|FASHION_BOLSAS_E_ACE|AUTOMOTIVO|TELEFONIA|BRINQUEDOS|BEBIDAS|
MATOES DO NORTE-MA;698.90;CAMA_MESA_BANHO|BELEZA_SAUDE|
SUME-PB;248.89;CAMA_MESA_BANHO|ESPORTE_LAZER|BRINQUEDOS|
CABRALIA PAULISTA-SP;207.29;CAMA_MESA_BANHO|INFORMATICA_ACESSORI|BELEZA_SAUDE|ELETRONICOS|
JALES-SP;2811.35;CAMA_MESA_BANHO|FERRAMENTAS_JARDIM|RELOGIOS_PRESENTES|ELETRONICOS|PERFUMARIA|INFORMATICA_ACESSORI|ESPORTE_LAZER|FASHION_BOLSAS_E_ACE|BELEZA_SAUDE|MOVEIS_DECORACAO|AUTOMOTIVO|UTILIDADES_DOMESTICA|MOVEIS_ESCRITORIO|BEBIDAS|
LORENA-SP;7212.35;CAMA_MESA_BANHO|BEBIDAS|COOL_STUFF|FERRAMENTAS_JARDIM|ELETRONICOS|ESPORTE_LAZER|TELEFONIA|MOVEIS_ESCRITORIO|RELOGIOS_PRESENTES|AUTOMOTIVO|INFORMATICA_ACESSORI|PET_SHOP|PAPELARIA|BRINQUEDOS|ELETRODOMESTICOS|PERFUMARIA|FASHION_BOLSAS_E_ACE|MOVEIS_DECORACAO|UTILIDADES_DOMESTICA|
RIO BONITO-RJ;3704.23;CAMA_MESA_BANHO|UTILIDADES_DOMESTICA|MOVEIS_DECORACAO|COOL_STUFF|INFORMATICA_ACESSORI|ESPORTE_LAZER|BRINQUEDOS|RELOGIOS_PRESENTES|PAPELARIA|PET_SHOP|PERFUMARIA|BELEZA_SAUDE|BEBIDAS|ELETRODOMESTICOS|
CRUZEIRO DO OESTE-PR;825.39;CAMA_MESA_BANHO|ELETRONICOS|COOL_STUFF|TELEFONIA|ESPORTE_LAZER|PET_SHOP|
COROMANDEL-MG;1714.93;CAMA_MESA_BANHO|MOVEIS_DECORACAO|BELEZA_SAUDE|INFORMATICA_ACESSORI|AUTOMOTIVO|PAPELARIA|ESPORTE_LAZER|TELEFONIA|FASHION_BOLSAS_E_ACE|MALAS_ACESSORIOS|COOL_STUFF|ELETRONICOS|FERRAMENTAS_JARDIM|
MESQUITA-RJ;8299.73;CAMA_MESA_BANHO|FERRAMENTAS_JARDIM|MOVEIS_DECORACAO|UTILIDADES_DOMESTICA|ESPORTE_LAZER|TELEFONIA|RELOGIOS_PRESENTES|BEBIDAS|PERFUMARIA|COOL_STUFF|CONSOLES_GAMES|MALAS_ACESSORIOS|INFORMATICA_ACESSORI|BRINQUEDOS|ELETRONICOS|FASHION_BOLSAS_E_ACE|PAPELARIA|BELEZA_SAUDE|
INHUMAS-GO;1939.03;CAMA_MESA_BANHO|PERFUMARIA|ESPORTE_LAZER|BELEZA_SAUDE|FASHION_BOLSAS_E_ACE|INFORMATICA_ACESSORI|AUTOMOTIVO|ELETRONICOS|UTILIDADES_DOMESTICA|COOL_STUFF|
BRACO DO NORTE-SC;2798.18;CAMA_MESA_BANHO|MOVEIS_ESCRITORIO|COOL_STUFF|ESPORTE_LAZER|BELEZA_SAUDE|AUTOMOTIVO|UTILIDADES_DOMESTICA|BEBIDAS|BRINQUEDOS|INFORMATICA_ACESSORI|PAPELARIA|TELEFONIA|
TRAMANDAI-RS;2414.63;CAMA_MESA_BANHO|MOVEIS_DECORACAO|UTILIDADES_DOMESTICA|FERRAMENTAS_JARDIM|COOL_STUFF|BELEZA_SAUDE|RELOGIOS_PRESENTES|CONSOLES_GAMES|FASHION_BOLSAS_E_ACE|INFORMATICA_ACESSORI|AUTOMOTIVO|BRINQUEDOS|ESPORTE_LAZER|
PACAJUS-CE;1262.59;CAMA_MESA_BANHO|TELEFONIA|BEBIDAS|RELOGIOS_PRESENTES|ESPORTE_LAZER|
MONTE CARLO-SC;309.50;CAMA_MESA_BANHO|ELETRODOMESTICOS|COOL_STUFF|
ROSARIO DO SUL-RS;915.80;CAMA_MESA_BANHO|FERRAMENTAS_JARDIM|MOVEIS_DECORACAO|UTILIDADES_DOMESTICA|AUTOMOTIVO|BEBIDAS|BELEZA_SAUDE|ESPORTE_LAZER|ELETRONICOS|
RANCHARIA-SP;2623.29;CAMA_MESA_BANHO|MOVEIS_DECORACAO|TELEFONIA|PAPELARIA|COOL_STUFF|RELOGIOS_PRESENTES|ELETRODOMESTICOS|ESPORTE_LAZER|ELETRONICOS|AUTOMOTIVO|BRINQUEDOS|BEBIDAS|INFORMATICA_ACESSORI|
LUZIANIA-GO;4213.56;CAMA_MESA_BANHO|ESPORTE_LAZER|TELEFONIA|MOVEIS_ESCRITORIO|RELOGIOS_PRESENTES|AUTOMOTIVO|BELEZA_SAUDE|PAPELARIA|FASHION_BOLSAS_E_ACE|COOL_STUFF|INFORMATICA_ACESSORI|MALAS_ACESSORIOS|BRINQUEDOS|
POTIRENDABA-SP;694.83;CAMA_MESA_BANHO|AUTOMOTIVO|BELEZA_SAUDE|BRINQUEDOS|
LAPA-PR;1907.50;CAMA_MESA_BANHO|UTILIDADES_DOMESTICA|ELETRONICOS|CONSOLES_GAMES|BELEZA_SAUDE|MOVEIS_ESCRITORIO|PAPELARIA|BRINQUEDOS|
LEOPOLDINA-MG;1486.17;CAMA_MESA_BANHO|TELEFONIA|MOVEIS_ESCRITORIO|ELETRONICOS|ESPORTE_LAZER|BEBIDAS|AUTOMOTIVO|INFORMATICA_ACESSORI|
ITABAIANA-SE;2631.59;CAMA_MESA_BANHO|FERRAMENTAS_JARDIM|MOVEIS_DECORACAO|ESPORTE_LAZER|TELEFONIA|BELEZA_SAUDE|BRINQUEDOS|BEBIDAS|ELETRONICOS|
PEDREIRA-SP;2641.90;CAMA_MESA_BANHO|MOVEIS_DECORACAO|MOVEIS_ESCRITORIO|INFORMATICA_ACESSORI|ESPORTE_LAZER|PAPELARIA|ELETRODOMESTICOS|COOL_STUFF|UTILIDADES_DOMESTICA|PERFUMARIA|BELEZA_SAUDE|ELETRONICOS|RELOGIOS_PRESENTES|FERRAMENTAS_JARDIM|AUTOMOTIVO|
JAGUARI-RS;77.99;CAMA_MESA_BANHO|FASHION_BOLSAS_E_ACE|
